index,db_type,db_conn,db_name,tb_name,hive_db_ods,hive_tb_ods,ext_condition,hive_db_dwd,hive_tb_dwd,patition_col_dwd,patition_col_src,weight,sync_type,status=1处理,,,,,,,,,,,,,,,,,,,,
30.0,oracle,ksa_broker_ro,HSDC,ACCOUNT_OWNER,sahm_ods,ods_ksa_broker_account_owner_df,,sahm_dwd,dwd_sas_pty_account_owner_di,ds,ds,10,1,1,无此表,无此表,无此表,无此表,,,,,,,,,,,,,,,,
31.0,oracle,ksa_js_ro,HSDC_JS,CUSTOMER_EQUITY,sahm_ods,ods_ksa_settle_customer_equity_df,,sahm_dwd,dwd_sas_ast_customer_equity_di,ds,ds,10,1,1,无,有,无,有,,,,,,,,,,,,,,,,
32.0,oracle,ksa_js_ro,HSDC_JS,ALL_SECURITY_HOLDING_PAT,sahm_ods,ods_ksa_settle_security_holding_pat_di,BALANCE_LOG_DATE='{{ ds_nodash }}',sahm_dwd,dwd_sas_ast_security_holding_pat_di,ds,"from_unixtime(unix_timestamp(balance_log_date,'yyyyMMdd'),'yyyy-MM-dd')",5,1,1,无,有,无,有,,,,,,,,,,,,,,,,
33.0,oracle,ksa_oms_ro,HSDC_OMS,EXECUTION_REPORT_20230209,sahm_ods,ods_ksa_oms_execution_report_df,,sahm_dwd,dwd_sas_trd_execution_report_di,ds,ds,5,1,1,有,有,有,有,,,,,,,,,,,,,,,,
74.0,oracle,ksa_js_ro,HSDC_JS,US_BRANCH_HOLDING_DETAIL_PAT,sahm_ods,ods_ksa_settle_us_branch_holding_detail_pat_di,BALANCE_LOG_DATE='{{ ds_nodash }}',sahm_dwd,dwd_sas_ast_us_branch_holding_detail_pat_di,ds,"from_unixtime(unix_timestamp(balance_log_date,'yyyyMMdd'),'yyyy-MM-dd')",10,1,1,有,有,有,有,通过,,,,,,,,,,,,,,,
75.0,oracle,ksa_broker_ro,HSDC,MARGIN_RATIO,sahm_ods,ods_ksa_broker_margin_ratio_df,,sahm_dwd,dwd_sas_agt_margin_ratio_di,ds,ds,10,1,1,有,有,有,有,,,,,,,,,,,,,,,,
76.0,oracle,ksa_broker_ro,HSDC,CUSTODIAN_INFO,sahm_ods,ods_ksa_broker_custodian_info_df,,sahm_dwd,dwd_sas_pty_custodian_info_df,,,5,1,1,有,有,有,有,,,,,,,,,,,,,,,,
77.0,oracle,ksa_broker_ro,HSDC,MONEY_BALANCE_OPERATION,sahm_ods,ods_ksa_broker_money_balance_operation_df,,sahm_dwd,dwd_sas_ast_money_balance_operation_df,,,5,0,0,无,无,无,无,,,,,,,,,,,,,,,,
78.0,oracle,ksa_broker_ro,HSDC,MONEY_INFLATED_OPERATION,sahm_ods,ods_ksa_broker_money_inflated_operation_df,,sahm_dwd,dwd_sas_broker_money_inflated_operation_df,,,5,0,0,无,无,无,无,,,,,,,,,,,,,,,,
79.0,mysql,hs_crm_money_ro,hs_crm_money,bank_info,sahm_ods,ods_ksa_money_bank_info_df,,sahm_dwd,dwd_sas_var_bank_info_df,,,5,1,1,无,无,无,无,,,,,,,,,,,,,,,,
